Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Begin File	Begin Path	Tonal	Signal strength	Background	AR comment	SNR NIST Quick (dB FS)	SNR order	species	certainty	comment	type	WH ID	WH Comment	NEW analysis
4393	Spectrogram 1	1	31923.240633333	31924.293633333	1.053	131.743	135.0	299.4	234.4	1208533023.041023185015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041023185015.wav					9.99	5376	BH	High	faint				
5222	Spectrogram 1	1	50872.614966667	50875.276966667	2.662	186.087	97.3	297.7	187.5	1208533023.041030205015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041030205015.wav					9.99	5377	BH	High					
7993	Spectrogram 1	1	111062.705666667	111063.804666667	1.099	90.262	120.9	218.8	169.9	1208533023.041212185015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041212185015.wav					9.99	5378	BH	High					
11176	Spectrogram 1	1	178951.111000000	178955.225000000	4.114	196.786	95.8	227.5	181.6	1208533023.050110055015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050110055015.wav					9.99	5379	BH	High					yes
13564	Spectrogram 1	1	240288.800700000	240289.637700000	0.837	51.291	110.8	227.3	164.1	1208533023.050306025015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050306025015.wav					9.99	5380	BH	High	faint				
2186	Spectrogram 1	1	7375.515700000	7376.626700000	1.111	177.177	102.4	259.0	193.4	1208533023.041007225015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041007225015.wav					9.98	5381	BH	High					
9154	Spectrogram 1	1	137166.063700000	137166.902700000	0.839	100.265	134.0	302.9	234.4	1208533023.041226125015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041226125015.wav					9.98	5382	BH	High	faint				
13861	Spectrogram 1	1	244236.458333333	244237.497333333	1.039	99.687	106.7	263.6	169.9	1208533023.050310125015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050310125015.wav					9.98	5383	BH	High					yes
12601	Spectrogram 1	1	212048.715033333	212049.303033333	0.588	3.605	145.0	266.9	158.2	1208533023.050131085015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050131085015.wav					9.97	5384	BH	High					
4364	Spectrogram 1	1	30834.473300000	30835.777300000	1.304	242.810	129.2	322.9	134.8	1208533023.041023085015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041023085015.wav					9.96	5385	BH	High					
12743	Spectrogram 1	1	215398.240033333	215399.079033333	0.839	54.132	132.9	219.6	158.2	1208533023.050203065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050203065015.wav					9.96	5386	BH	High	faint				
13194	Spectrogram 1	1	230616.998633333	230618.022633333	1.024	276.661	119.4	232.2	175.8	1208533023.050218165015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050218165015.wav					9.96	5387	BH	High	faint				
8075	Spectrogram 1	1	113302.512666667	113303.175666667	0.663	230.517	132.4	310.9	187.5	1208533023.041215165015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041215165015.wav					9.95	5388	BH	High					
11508	Spectrogram 1	1	185038.761000000	185041.554000000	2.793	286.149	136.6	362.4	187.5	1208533023.050111095015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050111095015.wav					9.95	5389	BH	High					yes
4360	Spectrogram 1	1	30815.619300000	30816.291300000	0.672	223.956	170.3	317.0	275.4	1208533023.041023085015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041023085015.wav					9.94	5391	BH	High					
11022	Spectrogram 1	1	175813.645966667	175814.626966667	0.981	58.600	128.1	279.6	228.5	1208533023.050109165015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050109165015.wav					9.94	5390	BH	High		ds			
7649	Spectrogram 1	1	102293.696366667	102294.939366667	1.243	19.039	161.2	282.1	216.8	1208533023.041206225015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041206225015.wav					9.93	5392	BH	High					
5769	Spectrogram 1	1	57347.794633333	57348.702633333	0.908	62.816	108.8	188.9	134.8	1208533023.041101025015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041101025015.wav					9.92	5393	BH	High					
901	Spectrogram 1	1	2291.935366667	2292.569366667	0.634	192.383	195.3	461.5	322.3	1208533023.040929025015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040929025015.wav					9.91	5394	BH	High		ssong			
3691	Spectrogram 1	1	21341.535333333	21342.733333333	1.198	47.439	99.8	270.1	175.8	1208533023.041016065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041016065015.wav					9.91	5395	BH	High					
1380	Spectrogram 1	1	4661.150666667	4661.949666667	0.799	162.003	126.0	288.0	246.1	1208533023.041004045015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041004045015.wav					9.9	5396	BH	High					
6298	Spectrogram 1	1	69706.328633333	69707.617633333	1.289	123.762	172.1	269.6	210.9	1208533023.041114005015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041114005015.wav					9.9	5397	BH	High					
7289	Spectrogram 1	1	95586.722033333	95587.744033333	1.022	210.608	122.1	261.6	199.2	1208533023.041128145015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041128145015.wav					9.9	5398	BH	High					
9451	Spectrogram 1	1	143671.030333333	143671.602333333	0.572	7.212	168.9	337.9	246.1	1208533023.041231225015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041231225015.wav					9.9	5399	BH	High	faint				
9420	Spectrogram 1	1	143132.097700000	143135.172700000	3.075	67.976	108.3	242.0	146.5	1208533023.041231185015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041231185015.wav					9.88	5400	BH	High					yes
12776	Spectrogram 1	1	216248.650333333	216249.696333333	1.046	4.789	150.2	306.3	240.2	1208533023.050204025015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050204025015.wav					9.88	5401	BH	High	faint				
13391	Spectrogram 1	1	237106.653300000	237107.871300000	1.218	168.037	122.3	302.9	193.4	1208533023.050227105015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050227105015.wav					9.88	5402	BH	High					
3856	Spectrogram 1	1	23982.400700000	23983.056700000	0.656	289.090	193.7	463.8	293.0	1208533023.041019145015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041019145015.wav					9.87	5403	BH	High		ds			
5896	Spectrogram 1	1	59659.286300000	59660.171300000	0.885	274.795	108.8	246.2	140.6	1208533023.041101125015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041101125015.wav					9.87	5404	BH	High					
6441	Spectrogram 1	1	73810.057000000	73811.767000000	1.710	28.255	134.3	279.9	187.5	1208533023.041117175015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041117175015.wav					9.87	5405	BH	High					y
6903	Spectrogram 1	1	86347.391033333	86348.192033333	0.801	268.524	126.0	286.3	222.7	1208533023.041124205015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041124205015.wav					9.87	5406	BH	High					
4335	Spectrogram 1	1	30195.397633333	30198.385633333	2.988	203.566	101.8	227.5	181.6	1208533023.041023055015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041023055015.wav					9.85	5407	BH	High					y
5496	Spectrogram 1	1	53905.075366667	53906.915366667	1.840	219.328	105.2	296.9	187.5	1208533023.041031115015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041031115015.wav					9.85	5408	BH	High					y
6280	Spectrogram 1	1	69138.753633333	69139.798633333	1.045	156.139	149.1	286.8	240.2	1208533023.041113145015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041113145015.wav					9.84	5409	BH	High					
7290	Spectrogram 1	1	95673.889033333	95674.636033333	0.747	297.775	186.0	302.3	246.1	1208533023.041128145015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041128145015.wav					9.84	5410	BH	High					
8787	Spectrogram 1	1	126372.546633333	126374.148633333	1.602	103.995	98.6	208.9	146.5	1208533023.041221025015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041221025015.wav					9.84	5411	BH	High					
7889	Spectrogram 1	1	109500.482700000	109501.168700000	0.686	27.653	144.0	224.6	193.4	1208533023.041210065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041210065015.wav					9.83	5412	BH	High					
8678	Spectrogram 1	1	124241.800300000	124242.403300000	0.603	72.692	126.7	241.8	164.1	1208533023.041220165015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041220165015.wav					9.82	5413	BH	High	faint				
1339	Spectrogram 1	1	4504.855666667	4506.057666667	1.202	5.708	162.0	288.0	252.0	1208533023.041004045015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041004045015.wav					9.81	5414	BH	High					
6299	Spectrogram 1	1	69707.731633333	69708.510633333	0.779	125.165	149.1	344.2	246.1	1208533023.041114005015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041114005015.wav					9.81	5415	BH	High					
8221	Spectrogram 1	1	116671.649700000	116674.767700000	3.118	0.650	148.4	361.3	169.9	1208533023.041217045015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041217045015.wav					9.81	5416	BH	High					yes
1052	Spectrogram 1	1	2887.038366667	2887.581366666	0.543	187.520	194.5	341.8	281.2	1208533023.040930005015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040930005015.wav					9.8	5419	BH	High					
5549	Spectrogram 1	1	54719.254300000	54722.501300000	3.247	133.740	97.8	439.9	199.2	1208533023.041031155015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041031155015.wav					9.8	5418	BH	High	us	ssong			y
11696	Spectrogram 1	1	188234.681666667	188235.889666666	1.208	182.989	104.8	250.5	128.9	1208533023.050112045015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050112045015.wav					9.8	5420	BH	High	faint				
13497	Spectrogram 1	1	239450.058000000	239451.655000000	1.597	112.224	157.3	262.1	181.6	1208533023.050304005015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.050304005015.wav					9.8	5417	BH	High	faint	ll200			
6569	Spectrogram 1	1	76011.830366667	76013.051366667	1.221	130.594	143.1	286.3	216.8	1208533023.041118045015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041118045015.wav					9.79	5421	BH	High					
8119	Spectrogram 1	1	114165.682666667	114167.109666666	1.427	193.920	138.2	345.5	187.5	1208533023.041216025015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041216025015.wav					9.79	5422	BH	High					
