Selection,View,Channel,Begin Time (s),End Time (s),Delta Time (s),File Offset (s),Low Freq (Hz),High Freq (Hz),Peak Freq (Hz),Begin File,Begin Path,Tonal,Signal strength,Background,AR comment,SNR NIST Quick (dB FS),SNR order,species,certainty,comment,type,WH ID,WH Comment,NEW analysis
4825,Spectrogram 1,1,43005.721333333,43007.475333333,1.754,117.248,47.6,470.2,93.8,1208533023.041028015015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041028015015.wav,,,,,40.43,217,BH,High,,,,,y
2503,Spectrogram 1,1,13132.109666667,13134.101666667,1.992,235.314,185.6,676.6,199.2,1208533023.041014005015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041014005015.wav,,,,,13.13,4192,BH,High,ds,ssong,,,yes
9342,Spectrogram 1,1,141645.687633333,141646.945633333,1.258,81.163,64.1,163.1,117.2,1208533023.041231025015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041231025015.wav,,,,,2.31,5593,BH,High,,,,,
5491,Spectrogram 1,1,53861.496366667,53863.120366667,1.624,175.749,61.9,216.5,175.8,1208533023.041031115015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041031115015.wav,,,,,26.63,3198,BH,High,,,,,y
11636,Spectrogram 1,1,187384.257,187392.701,8.444,232.162,67.2,7258.7,228.5,1208533023.050112005015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050112005015.wav,,,,,13.17,4177,BH,High,,roar,,,yes
8245,Spectrogram 1,1,117457.726966667,117458.557966667,0.831,186.824,86.4,287.9,187.5,1208533023.041217185015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041217185015.wav,,,,,24.98,3250,BH,High,,,,,
4194,Spectrogram 1,1,26496.246366667,26497.512366667,1.266,103.491,70.5,176.1,105.5,1208533023.041021065015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041021065015.wav,,,,,3.95,5577,BH,High,,,,,
5773,Spectrogram 1,1,57369.202633333,57370.430633333,1.228,84.224,114.5,332.1,234.4,1208533023.041101025015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041101025015.wav,,,,,11.59,4756,BH,High,,us,,,
7130,Spectrogram 1,1,91561.303966667,91563.468966667,2.165,84.008,89.8,2143.7,128.9,1208533023.041125205015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041125205015.wav,,,,,18.11,3400,BH,High,,roar,,,yes
11301,Spectrogram 1,1,180861.304966667,180862.711966667,1.407,7.708,35.9,287.4,87.9,1208533023.050110135015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050110135015.wav,,,,,36.62,1008,BH,High,,,,,yes
10276,Spectrogram 1,1,160821.545,160823.255,1.71,62.47,47.1,258.8,134.8,1208533023.050105135015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050105135015.wav,,,,,32.8,2241,BH,High,,,,,yes
13346,Spectrogram 1,1,235848.678033333,235851.811033333,3.133,109.809,145.6,267.9,181.6,1208533023.050225185015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050225185015.wav,,,,,12.31,4480,BH,High,,ll200,,,
3677,Spectrogram 1,1,21113.993033333,21116.353033333,2.36,119.843,191.6,425.1,310.5,1208533023.041016035015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041016035015.wav,,,,,12.76,4320,BH,High,,long,,,yes
